Date,2021/06/29
Name,元大臺灣ESG永續ETF基金
Net Asset,9576302652
Shares Outstanding,276444000
ETF Currency,NTD
NAV per Share,34.64

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
2330_TW,台積電,NTD,4646000.0,,,28.62,,1.0,1.0
2454_TW,聯發科,NTD,606000.0,,,5.92,,1.0,1.0
2317_TW,鴻海,NTD,4886000.0,,,5.69,,1.0,1.0
2308_TW,台達電,NTD,885000.0,,,2.74,,1.0,1.0
2303_TW,聯電,NTD,4771000.0,,,2.62,,1.0,1.0
2881_TW,富邦金,NTD,3008000.0,,,2.3,,1.0,1.0
1303_TW,南亞,NTD,2312000.0,,,2.01,,1.0,1.0
2002_TW,中鋼,NTD,5050000.0,,,1.97,,1.0,1.0
2603_TW,長榮,NTD,1069000.0,,,1.96,,1.0,1.0
2882_TW,國泰金,NTD,3383158.0,,,1.92,,1.0,1.0
2412_TW,中華電,NTD,1557000.0,,,1.85,,1.0,1.0
2891_TW,中信金,NTD,7429000.0,,,1.76,,1.0,1.0
3711_TW,日月光投控,NTD,1401000.0,,,1.65,,1.0,1.0
2886_TW,兆豐金,NTD,4457000.0,,,1.52,,1.0,1.0
1216_TW,統一,NTD,1963000.0,,,1.51,,1.0,1.0
2884_TW,玉山金,NTD,4890845.0,,,1.34,,1.0,1.0
2885_TW,元大金,NTD,4761440.0,,,1.31,,1.0,1.0
1326_TW,台化,NTD,1402000.0,,,1.24,,1.0,1.0
3034_TW,聯詠,NTD,234000.0,,,1.21,,1.0,1.0
1101_TW,台泥,NTD,2131282.0,,,1.14,,1.0,1.0
2357_TW,華碩,NTD,289000.0,,,1.12,,1.0,1.0
5871_TW,中租-KY,NTD,517320.0,,,1.1,,1.0,1.0
2382_TW,廣達,NTD,1089000.0,,,1.0,,1.0,1.0
2892_TW,第一金,NTD,4142790.0,,,0.98,,1.0,1.0
2615_TW,萬海,NTD,298000.0,,,0.93,,1.0,1.0
2409_TW,友達,NTD,3604000.0,,,0.88,,1.0,1.0
5880_TW,合庫金,NTD,3932940.0,,,0.88,,1.0,1.0
2883_TW,開發金,NTD,5687000.0,,,0.78,,1.0,1.0
3481_TW,群創,NTD,3439000.0,,,0.77,,1.0,1.0
2880_TW,華南金,NTD,3919198.0,,,0.76,,1.0,1.0
2345_TW,智邦,NTD,218000.0,,,0.75,,1.0,1.0
3045_TW,台灣大,NTD,670000.0,,,0.71,,1.0,1.0
3037_TW,欣興,NTD,525000.0,,,0.71,,1.0,1.0
2887_TW,台新金,NTD,4242199.0,,,0.67,,1.0,1.0
4938_TW,和碩,NTD,836000.0,,,0.65,,1.0,1.0
6505_TW,台塑化,NTD,559000.0,,,0.63,,1.0,1.0
2912_TW,統一超,NTD,230000.0,,,0.63,,1.0,1.0
2890_TW,永豐金,NTD,4294000.0,,,0.62,,1.0,1.0
2395_TW,研華,NTD,168179.0,,,0.59,,1.0,1.0
2301_TW,光寶科,NTD,871000.0,,,0.58,,1.0,1.0
2474_TW,可成,NTD,299000.0,,,0.57,,1.0,1.0
1476_TW,儒鴻,NTD,81000.0,,,0.56,,1.0,1.0
1402_TW,遠東新,NTD,1606000.0,,,0.53,,1.0,1.0
1102_TW,亞泥,NTD,950000.0,,,0.5,,1.0,1.0
2888_TW,新光金,NTD,4853053.0,,,0.49,,1.0,1.0
2049_TW,上銀,NTD,110000.0,,,0.46,,1.0,1.0
9910_TW,豐泰,NTD,181000.0,,,0.45,,1.0,1.0
2801_TW,彰銀,NTD,2659640.0,,,0.45,,1.0,1.0
4904_TW,遠傳,NTD,654000.0,,,0.44,,1.0,1.0
2492_TW,華新科,NTD,199000.0,,,0.44,,1.0,1.0
2344_TW,華邦電,NTD,1205000.0,,,0.44,,1.0,1.0
9904_TW,寶成,NTD,1087000.0,,,0.43,,1.0,1.0
2324_TW,仁寶,NTD,1683000.0,,,0.39,,1.0,1.0
1605_TW,華新,NTD,1291000.0,,,0.38,,1.0,1.0
2353_TW,宏,NTD,1164000.0,,,0.38,,1.0,1.0
2105_TW,正新,NTD,751000.0,,,0.37,,1.0,1.0
3231_TW,緯創,NTD,1145000.0,,,0.37,,1.0,1.0
6669_TW,緯穎,NTD,34000.0,,,0.35,,1.0,1.0
2356_TW,英業達,NTD,1164000.0,,,0.31,,1.0,1.0
4958_TW,臻鼎-KY,NTD,258000.0,,,0.29,,1.0,1.0
2408_TW,南亞科,NTD,335000.0,,,0.28,,1.0,1.0
2633_TW,台灣高鐵,NTD,853000.0,,,0.27,,1.0,1.0
1504_TW,東元,NTD,728000.0,,,0.26,,1.0,1.0
1802_TW,台玻,NTD,662000.0,,,0.24,,1.0,1.0
2823_TW,中壽,NTD,842960.0,,,0.23,,1.0,1.0
2610_TW,華航,NTD,1055000.0,,,0.21,,1.0,1.0
2385_TW,群光,NTD,247000.0,,,0.21,,1.0,1.0
2834_TW,臺企銀,NTD,2025600.0,,,0.2,,1.0,1.0
1722_TW,台肥,NTD,302000.0,,,0.18,,1.0,1.0
1717_TW,長興,NTD,411000.0,,,0.17,,1.0,1.0
2606_TW,裕民,NTD,173000.0,,,0.15,,1.0,1.0
6005_TW,群益證,NTD,818000.0,,,0.14,,1.0,1.0
1434_TW,福懋,NTD,418000.0,,,0.14,,1.0,1.0
9917_TW,中保科,NTD,115000.0,,,0.11,,1.0,1.0
2201_TW,裕隆,NTD,225000.0,,,0.1,,1.0,1.0
2845_TW,遠東銀,NTD,865721.0,,,0.1,,1.0,1.0
2204_TW,中,NTD,105000.0,,,0.08,,1.0,1.0
2227_TW,裕日車,NTD,9000.0,,,0.03,,1.0,1.0
E4F,FTSE4GOOD台灣指數公司永續期貨,NTD,35.0,202107,,0.32,,100.0,1.0
NYF,台灣50ETF股票期貨,NTD,73.0,202107,,1.05,,10000.0,1.0
TX,臺股期貨,NTD,23.0,202107,,0.84,,200.0,1.0
Cash,保證金,NTD,82058081.0,,,,1,1,1.0
Cash,現金,NTD,119407942.0,,,,1,1,1.0
Cash,應收股利,NTD,9397750.0,,,,1,1,1.0

